State,Location,"Heavy Drinking Percentage, 2012",FIPS,PlaceName
Alabama,Autauga County,6.3,01001,Autauga County | AL
Alabama,Baldwin County,9.3,01003,Baldwin County | AL
Alabama,Barbour County,6.4,01005,Barbour County | AL
Alabama,Bibb County,5.5,01007,Bibb County | AL
Alabama,Blount County,5.0,01009,Blount County | AL
Alabama,Bullock County,7.0,01011,Bullock County | AL
Alabama,Butler County,6.0,01013,Butler County | AL
Alabama,Calhoun County,5.3,01015,Calhoun County | AL
Alabama,Chambers County,7.0,01017,Chambers County | AL
Alabama,Cherokee County,4.8,01019,Cherokee County | AL
Alabama,Chilton County,5.0,01021,Chilton County | AL
Alabama,Choctaw County,5.1,01023,Choctaw County | AL
Alabama,Clarke County,5.1,01025,Clarke County | AL
Alabama,Clay County,4.7,01027,Clay County | AL
Alabama,Cleburne County,5.1,01029,Cleburne County | AL
Alabama,Coffee County,6.7,01031,Coffee County | AL
Alabama,Colbert County,5.4,01033,Colbert County | AL
Alabama,Conecuh County,6.9,01035,Conecuh County | AL
Alabama,Coosa County,6.0,01037,Coosa County | AL
Alabama,Covington County,6.4,01039,Covington County | AL
Alabama,Crenshaw County,5.6,01041,Crenshaw County | AL
Alabama,Cullman County,3.9,01043,Cullman County | AL
Alabama,Dale County,6.5,01045,Dale County | AL
Alabama,Dallas County,5.2,01047,Dallas County | AL
Alabama,DeKalb County,4.6,01049,Dekalb County | AL
Alabama,Elmore County,7.1,01051,Elmore County | AL
Alabama,Escambia County,6.2,01053,Escambia County | AL
Alabama,Etowah County,5.2,01055,Etowah County | AL
Alabama,Fayette County,4.6,01057,Fayette County | AL
Alabama,Franklin County,4.1,01059,Franklin County | AL
Alabama,Geneva County,6.4,01061,Geneva County | AL
Alabama,Greene County,6.7,01063,Greene County | AL
Alabama,Hale County,6.3,01065,Hale County | AL
Alabama,Henry County,6.6,01067,Henry County | AL
Alabama,Houston County,6.3,01069,Houston County | AL
Alabama,Jackson County,4.8,01071,Jackson County | AL
Alabama,Jefferson County,7.1,01073,Jefferson County | AL
Alabama,Lamar County,3.9,01075,Lamar County | AL
Alabama,Lauderdale County,5.3,01077,Lauderdale County | AL
Alabama,Lawrence County,3.8,01079,Lawrence County | AL
Alabama,Lee County,8.3,01081,Lee County | AL
Alabama,Limestone County,4.9,01083,Limestone County | AL
Alabama,Lowndes County,6.8,01085,Lowndes County | AL
Alabama,Macon County,7.8,01087,Macon County | AL
Alabama,Madison County,6.8,01089,Madison County | AL
Alabama,Marengo County,5.5,01091,Marengo County | AL
Alabama,Marion County,4.1,01093,Marion County | AL
Alabama,Marshall County,5.7,01095,Marshall County | AL
Alabama,Mobile County,7.7,01097,Mobile County | AL
Alabama,Monroe County,5.1,01099,Monroe County | AL
Alabama,Montgomery County,8.4,01101,Montgomery County | AL
Alabama,Morgan County,5.6,01103,Morgan County | AL
Alabama,Perry County,6.5,01105,Perry County | AL
Alabama,Pickens County,4.5,01107,Pickens County | AL
Alabama,Pike County,7.8,01109,Pike County | AL
Alabama,Randolph County,6.4,01111,Randolph County | AL
Alabama,Russell County,5.5,01113,Russell County | AL
Alabama,Shelby County,7.6,01117,Shelby County | AL
Alabama,St. Clair County,5.6,01115,St. Clair County | AL
Alabama,Sumter County,6.5,01119,Sumter County | AL
Alabama,Talladega County,5.9,01121,Talladega County | AL
Alabama,Tallapoosa County,6.5,01123,Tallapoosa County | AL
Alabama,Tuscaloosa County,7.0,01125,Tuscaloosa County | AL
Alabama,Walker County,4.3,01127,Walker County | AL
Alabama,Washington County,4.5,01129,Washington County | AL
Alabama,Wilcox County,6.7,01131,Wilcox County | AL
Alabama,Winston County,4.7,01133,Winston County | AL
Alaska,Aleutians East Borough,15.5,02013,Aleutians East Borough | AK
Alaska,Aleutians West Census Area,13.4,02016,Aleutians West Census Area | AK
Alaska,Anchorage Municipality,8.3,02020,Anchorage Municipality | AK
Alaska,Bethel Census Area,7.8,02050,Bethel Census Area | AK
Alaska,Bristol Bay Borough,13.2,02060,Bristol Bay Borough | AK
Alaska,Denali Borough,9.5,02068,Denali Borough | AK
Alaska,Yukon-Koyukuk Census Area,9.5,02290,Yukon-Koyukuk Census Area | AK
Alaska,Dillingham Census Area,9.0,02070,Dillingham Census Area | AK
Alaska,Fairbanks North Star Borough,9.2,02090,Fairbanks North Star Borough | AK
Alaska,Haines Borough,12.4,02100,Haines Borough | AK
Alaska,Hoonah-Angoon Census Area,12.7,02105,Hoonah-Angoon Census Area | AK
Alaska,Skagway Municipality,12.7,02230,Skagway Municipality | AK
Alaska,Yakutat City and Borough,12.7,02282,Yakutat City And Borough | AK
Alaska,Juneau City and Borough,10.0,02110,Juneau City And Borough | AK
Alaska,Kenai Peninsula Borough,10.0,02122,Kenai Peninsula Borough | AK
Alaska,Ketchikan Gateway Borough,11.3,02130,Ketchikan Gateway Borough | AK
Alaska,Petersburg Census Area,11.3,02195,Petersburg Census Area | AK
Alaska,Prince of Wales-Hyder Census Area,11.3,02198,Prince Of Wales-Hyder Census Area | AK
Alaska,Wrangell City and Borough,11.3,02275,Wrangell City And Borough | AK
Alaska,Kodiak Island Borough,11.6,02150,Kodiak Island Borough | AK
Alaska,Lake and Peninsula Borough,10.3,02164,Lake And Peninsula Borough | AK
Alaska,Matanuska-Susitna Borough,9.3,02170,Matanuska-Susitna Borough | AK
Alaska,Nome Census Area,7.6,02180,Nome Census Area | AK
Alaska,North Slope Borough,9.2,02185,North Slope Borough | AK
Alaska,Northwest Arctic Borough,5.3,02188,Northwest Arctic Borough | AK
Alaska,Sitka City and Borough,10.3,02220,Sitka City And Borough | AK
Alaska,Southeast Fairbanks Census Area,10.1,02240,Southeast Fairbanks Census Area | AK
Alaska,Valdez-Cordova Census Area,11.5,02261,Valdez-Cordova Census Area | AK
Alaska,Wade Hampton Census Area,6.8,02270,Wade Hampton Census Area | AK
Arizona,Apache County,7.2,04001,Apache County | AZ
Arizona,Cochise County,8.1,04003,Cochise County | AZ
Arizona,Coconino County,8.5,04005,Coconino County | AZ
Arizona,Gila County,8.7,04007,Gila County | AZ
Arizona,Graham County,5.5,04009,Graham County | AZ
Arizona,Greenlee County,8.5,04011,Greenlee County | AZ
Arizona,La Paz County,11.0,04012,La Paz County | AZ
Arizona,Maricopa County,7.7,04013,Maricopa County | AZ
