FIPS,"Diabetes Percentage, 2019",PlaceName
30031,4.1,Gallatin County | MT
56039,4.2,Teton County | WY
53055,4.5,San Juan County | WA
08059,5.2,Jefferson County | CO
08069,5.2,Larimer County | CO
49043,5.2,Summit County | UT
08035,5.3,Douglas County | CO
08013,5.4,Boulder County | CO
16085,5.4,Valley County | ID
30063,5.4,Missoula County | MT
50025,5.5,Windham County | VT
08067,5.6,La Plata County | CO
08117,5.6,Summit County | CO
26047,5.6,Emmet County | MI
30099,5.6,Teton County | MT
35049,5.6,Santa Fe County | NM
25015,5.7,Hampshire County | MA
41003,5.7,Benton County | OR
53031,5.7,Jefferson County | WA
08037,5.8,Eagle County | CO
30067,5.8,Park County | MT
55063,5.8,La Crosse County | WI
55073,5.8,Marathon County | WI
38043,5.9,Kidder County | ND
51059,5.9,Fairfax County | VA
55025,5.9,Dane County | WI
56029,5.9,Park County | WY
56035,5.9,Sublette County | WY
06057,6.0,Nevada County | CA
19191,6.0,Winneshiek County | IA
27067,6.0,Kandiyohi County | MN
30029,6.0,Flathead County | MT
50001,6.0,Addison County | VT
50007,6.0,Chittenden County | VT
06041,6.1,Marin County | CA
06061,6.1,Placer County | CA
08045,6.1,Garfield County | CO
08093,6.1,Park County | CO
16059,6.1,Lemhi County | ID
38069,6.1,Pierce County | ND
09005,6.2,Litchfield County | CT
19049,6.2,Dallas County | IA
30057,6.2,Madison County | MT
42029,6.2,Chester County | PA
49051,6.2,Wasatch County | UT
51013,6.2,Arlington County | VA
12021,6.3,Collier County | FL
25017,6.3,Middlesex County | MA
31027,6.3,Cedar County | NE
31071,6.3,Garfield County | NE
41027,6.3,Hood River County | OR
55089,6.3,Ozaukee County | WI
09001,6.4,Fairfield County | CT
16081,6.4,Teton County | ID
20131,6.4,Nemaha County | KS
25001,6.4,Barnstable County | MA
26029,6.4,Charlevoix County | MI
30011,6.4,Carter County | MT
30043,6.4,Jefferson County | MT
46081,6.4,Lawrence County | SD
55131,6.4,Washington County | WI
56019,6.4,Johnson County | WY
06097,6.5,Sonoma County | CA
08007,6.5,Archuleta County | CO
08031,6.5,Denver County | CO
08063,6.5,Kit Carson County | CO
08087,6.5,Morgan County | CO
08097,6.5,Pitkin County | CO
08107,6.5,Routt County | CO
12087,6.5,Monroe County | FL
13291,6.5,Union County | GA
16057,6.5,Latah County | ID
19151,6.5,Pocahontas County | IA
23005,6.5,Cumberland County | ME
23015,6.5,Lincoln County | ME
26089,6.5,Leelanau County | MI
30001,6.5,Beaverhead County | MT
30045,6.5,Judith Basin County | MT
31143,6.5,Polk County | NE
32005,6.5,Douglas County | NV
36061,6.5,New York County | NY
41057,6.5,Tillamook County | OR
47091,6.5,Johnson County | TN
51079,6.5,Greene County | VA
51107,6.5,Loudoun County | VA
55085,6.5,Oneida County | WI
55109,6.5,St. Croix County | WI
55127,6.5,Walworth County | WI
05015,6.6,Carroll County | AR
08041,6.6,El Paso County | CO
