FIPS,"Life expectancy, 2014",PlaceName
01001,75.67,Autauga County | AL
01003,78.08,Baldwin County | AL
01005,75.42,Barbour County | AL
01007,73.97,Bibb County | AL
01009,76.16,Blount County | AL
01011,73.86,Bullock County | AL
01013,73.39,Butler County | AL
01015,74.02,Calhoun County | AL
01017,74.06,Chambers County | AL
01019,75.08,Cherokee County | AL
01021,74.53,Chilton County | AL
01023,75.29,Choctaw County | AL
01025,75.46,Clarke County | AL
01027,75.06,Clay County | AL
01029,74.3,Cleburne County | AL
01031,76.48,Coffee County | AL
01033,75.07,Colbert County | AL
01035,74.05,Conecuh County | AL
01037,75.19,Coosa County | AL
01039,75.15,Covington County | AL
01041,74.07,Crenshaw County | AL
01043,75.31,Cullman County | AL
01045,76.26,Dale County | AL
01047,72.39,Dallas County | AL
01049,75.25,Dekalb County | AL
01051,75.93,Elmore County | AL
01053,74.15,Escambia County | AL
01055,73.85,Etowah County | AL
01057,73.98,Fayette County | AL
01059,73.31,Franklin County | AL
01061,75.54,Geneva County | AL
01063,74.05,Greene County | AL
01065,74.01,Hale County | AL
01067,75.97,Henry County | AL
01069,76.81,Houston County | AL
01071,74.13,Jackson County | AL
01073,75.34,Jefferson County | AL
01075,74.83,Lamar County | AL
01077,76.5,Lauderdale County | AL
01079,74.33,Lawrence County | AL
01081,76.52,Lee County | AL
01083,77.21,Limestone County | AL
01085,72.57,Lowndes County | AL
01087,72.81,Macon County | AL
01089,78.07,Madison County | AL
01091,74.68,Marengo County | AL
01093,74.54,Marion County | AL
01095,74.53,Marshall County | AL
01097,75.13,Mobile County | AL
01099,74.97,Monroe County | AL
01101,75.83,Montgomery County | AL
01103,76.21,Morgan County | AL
01105,72.31,Perry County | AL
01107,74.55,Pickens County | AL
01109,74.9,Pike County | AL
01111,74.65,Randolph County | AL
01113,74.43,Russell County | AL
01115,74.98,St. Clair County | AL
01117,79.53,Shelby County | AL
01119,74.82,Sumter County | AL
01121,74.29,Talladega County | AL
01123,75.01,Tallapoosa County | AL
01125,75.8,Tuscaloosa County | AL
01127,71.57,Walker County | AL
01129,74.82,Washington County | AL
01131,72.21,Wilcox County | AL
01133,74.51,Winston County | AL
02013,83.73,Aleutians East Borough | AK
02016,83.73,Aleutians West Census Area | AK
02020,78.68,Anchorage Municipality | AK
02050,74.29,Bethel Census Area | AK
02060,76.7,Bristol Bay Borough | AK
02068,74.5,Denali Borough | AK
02070,75.15,Dillingham Census Area | AK
02090,79.35,Fairbanks North Star Borough | AK
02100,79.65,Haines Borough | AK
02105,79.9,Hoonah-Angoon Census Area | AK
02110,80.35,Juneau City And Borough | AK
02122,78.61,Kenai Peninsula Borough | AK
02130,78.19,Ketchikan Gateway Borough | AK
02150,79.59,Kodiak Island Borough | AK
02158,70.83,Kusilvak Census Area | AK
02164,75.15,Lake And Peninsula Borough | AK
02170,78.11,Matanuska-Susitna Borough | AK
02180,72.63,Nome Census Area | AK
02185,77.09,North Slope Borough | AK
02188,74.51,Northwest Arctic Borough | AK
02195,78.19,Petersburg Census Area | AK
02198,78.19,Prince Of Wales-Hyder Census Area | AK
02220,79.94,Sitka City And Borough | AK
02230,79.9,Skagway Municipality | AK
02240,77.77,Southeast Fairbanks Census Area | AK
02261,78.0,Valdez-Cordova Census Area | AK
02275,78.19,Wrangell City And Borough | AK
02282,79.9,Yakutat City And Borough | AK
02290,74.5,Yukon-Koyukuk Census Area | AK
04001,74.28,Apache County | AZ
04003,78.83,Cochise County | AZ
04005,79.4,Coconino County | AZ
04007,76.26,Gila County | AZ
